		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01.08.23	0:15	11.9	12.4	11.9	74	7.4	3.6	NW	3.22	5.8	NW	10.3	11.6	10.1	1014.6	0.00	0.0	0.067	0.000	18.3	59	10.1	17.8	10.95	1.1986	349	1	100.0	15
01.08.23	0:30	12.3	12.3	11.8	71	7.2	4.0	WNW	3.62	6.7	WNW	10.4	11.9	10.0	1014.3	0.00	0.0	0.063	0.000	18.0	59	9.9	17.5	10.95	1.1997	344	1	100.0	15
01.08.23	0:45	12.0	12.3	12.0	70	6.7	3.6	WNW	3.22	5.4	WNW	10.4	11.6	10.1	1014.2	0.00	0.0	0.066	0.000	17.8	59	9.7	17.3	10.95	1.2005	348	1	100.0	15
01.08.23	1:00	12.0	12.2	11.8	67	6.1	3.1	WNW	2.82	7.2	W	10.8	11.5	10.3	1014.0	0.00	0.0	0.066	0.000	17.6	59	9.4	16.9	10.95	1.2015	348	1	100.0	15
01.08.23	1:15	12.2	12.2	11.8	64	5.6	2.2	NW	2.01	4.9	WNW	11.6	11.6	11.0	1014.0	0.00	0.0	0.064	0.000	17.4	59	9.3	16.8	10.95	1.2024	343	1	100.0	15
01.08.23	1:30	11.3	12.2	11.3	65	4.9	1.3	NW	1.21	3.1	WNW	11.2	10.8	10.8	1013.9	0.00	0.0	0.073	0.000	17.2	59	9.1	16.5	10.95	1.2034	347	1	100.0	15
01.08.23	1:45	10.8	11.3	10.8	65	4.5	0.4	W	0.40	2.7	W	10.8	10.4	10.4	1013.9	0.00	0.0	0.079	0.000	17.0	59	8.9	16.3	10.95	1.2042	347	1	100.0	15
01.08.23	2:00	9.8	10.8	9.8	67	4.0	0.9	NW	0.80	2.2	NW	9.8	9.6	9.6	1013.9	0.00	0.0	0.089	0.000	16.8	59	8.8	16.2	10.95	1.2051	347	1	100.0	15
01.08.23	2:15	9.0	10.0	9.0	70	3.8	0.9	WNW	0.80	1.8	NNW	9.0	8.7	8.7	1013.9	0.00	0.0	0.097	0.000	16.6	59	8.6	15.9	10.95	1.2062	349	1	100.0	15
01.08.23	2:30	8.5	8.9	8.4	70	3.3	0.4	WNW	0.40	1.3	WNW	8.5	8.2	8.2	1013.9	0.00	0.0	0.102	0.000	16.4	58	8.1	15.7	10.75	1.2075	347	1	100.0	15
